LEXEMA                         TOKEN      RENGLON   
------------------------------------------------------------
public                         210        1         
class                          209        1         
MiPrograma                     100        1         
{                              111        1         
public                         210        2         
static                         212        2         
void                           204        2         
main                           213        2         
(                              109        2         
)                              110        2         
{                              111        2         
int                            200        3         
a                              100        3         
=                              121        3         
10                             101        3         
;                              122        3         
int                            200        4         
b                              100        4         
=                              121        4         
10                             101        4         
;                              122        4         
int                            200        7         
suma                           100        7         
=                              121        7         
a                              100        7         
+                              104        7         
b                              100        7         
;                              122        7         
print                          208        8         
(                              109        8         
suma                           100        8         
)                              110        8         
;                              122        8         
int                            200        11        
resultado                      100        11        
=                              121        11        
suma                           100        11        
*                              106        11        
5                              101        11        
;                              122        11        
print                          208        12        
(                              109        12        
resultado                      100        12        
)                              110        12        
;                              122        12        
if                             215        16        
(                              109        16        
resultado                      100        16        
>                              119        16        
54                             101        16        
)                              110        16        
{                              111        16        
print                          208        18        
(                              109        18        
1111                           101        18        
)                              110        18        
;                              122        18        
int                            200        20        
x                              100        20        
=                              121        20        
1                              101        20        
;                              122        20        
while                          217        21        
(                              109        21        
x                              100        21        
<                              120        21        
5                              101        21        
)                              110        21        
{                              111        21        
x                              100        22        
=                              121        22        
x                              100        22        
+                              104        22        
1                              101        22        
;                              122        22        
}                              112        23        
resultado                      100        25        
=                              121        25        
x                              100        25        
;                              122        25        
}                              112        26        
else                           216        26        
{                              111        26        
print                          208        28        
(                              109        28        
2222                           101        28        
)                              110        28        
;                              122        28        
resultado                      100        29        
=                              121        29        
0                              101        29        
;                              122        29        
}                              112        30        
print                          208        32        
(                              109        32        
resultado                      100        32        
)                              110        32        
;                              122        32        
}                              112        33        
}                              112        34        
